"merge","id","id_str","name","screen_name","location","description","url","followers_count","friends_count","created_at","time_zone","lang","party"
"senrandpaul",216881337,216881337,"Senator Rand Paul","SenRandPaul","","I fight for the Constitution, individual liberty and the freedoms that make this country great.",NA,505424,342,"Wed Nov 17 23:52:35 +0000 2010","Eastern Time (US & Canada)","en","R"
"senrobportman",18915145,18915145,"Rob Portman","senrobportman","Ohio","United States Senator from the Buckeye State.",NA,41595,1622,"Mon Jan 12 20:56:42 +0000 2009","Eastern Time (US & Canada)","en","R"
"senrockefeller",273559002,273559002,"Jay Rockefeller","SenRockefeller","","Senator Jay Rockefeller has proudly served the people of West Virginia for nearly 50 years. Please visit his website at http://t.co/BGbAD1Q9",NA,17903,655,"Mon Mar 28 18:35:10 +0000 2011","Eastern Time (US & Canada)","en","D"
"senronjohnson",233737858,233737858,"Senator Ron Johnson","SenRonJohnson","Oshkosh, WI","Tweets from Ron are signed -rj","http://t.co/uMmOdTCWwT",25277,89,"Tue Jan 04 00:25:27 +0000 2011","Eastern Time (US & Canada)","en","R"
"sensanders",29442313,29442313,"Bernie Sanders","SenSanders","Vermont/DC","Sen. Bernie Sanders is the longest serving independent in congressional history. Tweets ending in -B are from Bernie, and all others are from a staffer.","http://t.co/8AS4FI1oge",245973,1634,"Tue Apr 07 13:02:35 +0000 2009","Eastern Time (US & Canada)","en","I"
"senschumer",17494010,17494010,"Chuck Schumer","SenSchumer","New York, NY","Official account of Senator Chuck Schumer - New York’s Senator  Tweets from Chuck are signed “-cs” - RT≠endorsement","http://t.co/actuzGi0EG",95894,27184,"Wed Nov 19 20:10:20 +0000 2008","Eastern Time (US & Canada)","en","D"
"senshelby",21111098,21111098,"Richard Shelby","SenShelby","Tuscaloosa, Alabama","The Press Office of                       Senator Richard Shelby (R-Ala.)
https://t.co/hUzSbtYLIJ","http://t.co/LygHS7S785",16399,159,"Tue Feb 17 17:53:43 +0000 2009","Central Time (US & Canada)","en","R"
"sensherrodbrown",43910797,43910797,"Sherrod Brown","SenSherrodBrown","Ohio/Washington D.C.","Office of United States Senator Sherrod Brown who is proud to serve Ohio.","http://t.co/YX0sj7bkFG",42553,45,"Mon Jun 01 16:07:45 +0000 2009","Quito","en","D"
"senthadcochran",555474658,555474658,"Senator Thad Cochran","SenThadCochran","","Office of U.S. Senator Thad Cochran of Mississippi.","http://t.co/bOl9VmFbzz",13002,476,"Mon Apr 16 22:33:23 +0000 2012","Eastern Time (US & Canada)","en","R"
"sentoomey",221162525,221162525,"Senator Pat Toomey","SenToomey","","Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.","http://t.co/7dKjJ0xolY",31846,816,"Mon Nov 29 22:32:09 +0000 2010","Eastern Time (US & Canada)","en","R"
